Local_alignment_Tm	Gap_adjusted_end_filling_Tm
58.23	-27.11
52.04	22.03
55.05	-21.81
48.26	12.9
51.28	-17.19
53.84	31.53
54.74	31.07
54.09	-45.7
54.36	3.45
53.97	24.31
54.38	42.62
54.36	3.57
53.97	24.31
47.12	17.76
54.26	-55.82
54.24	16.7
60.6	12.03
58.22	12.3
58.57	33.82
51.08	22.71
51.85	18.14
51.85	5.94
53.1	21.02
53.1	21.02
53.1	21.02
50.08	23.2
59.16	-5.43
57.08	-16.36
57.39	35.5
59.01	-64.45
54.35	33.06
53.84	30.92
54.74	29.41
53.4	20.38
54.93	-44.26
59.16	-8.52
57.08	-17.26
57.39	30.38
59.01	-59.56
54.35	32.41
58.03	-42.51
60.7	-114.29
56.96	4.47
60.7	-114.29
57.52	25.15
54.85	-53.98
54.85	-44.2
55.47	35.04
54.85	-44.2
54.85	-53.98
54.85	-45.09
54.85	-44.2
54.85	-44.2
54.85	-45.09
59.36	13.44
59.36	29.84
61.52	23.04
57.9	-69.3
61.52	36.62
56.09	15.4
53.09	34.55
53.44	27.84
50.91	23.61
49.69	-19.72
55.88	15.57
52.28	-23.14
54.1	-23.66
55.97	-4.56
51.49	24.88
53.97	40.85
53.97	40.85
51.27	-43.2
49.24	-75.07
51.27	-44.17
51.27	-79.96
51.27	-83.43
51.27	-44.17
51.27	-44.17
51.27	-44.17
51.27	-44.17
51.27	-44.17
51.27	-44.17
51.27	-44.17
51.27	-43.2
51.27	-44.17
51.27	-43.2
51.27	-44.17
51.27	-44.17
51.27	-44.17
55.84	-9.44
51.27	-83.43
51.27	-44.17
51.27	-44.17
51.27	-44.17
51.27	-44.17
51.27	-44.17
51.27	-44.17
51.27	-44.17
51.27	-79.96
46.9	-52.49
57.77	-116.4
60.7	4.78
62.81	-42.79
53.1	-24.45
53.1	-24.45
53.52	-95.15
54.26	-24.83
54.26	-17.2
56.13	-38.83
49.15	-37.22
54.28	-36.19
49.07	-14.18
50.54	-41.35
47.59	29.79
49.52	-43.25
49.52	-43.25
56.19	24.26
53.95	23.91
54.26	-48.2
54.26	-51.56
56.49	1.66
53.95	25.34
54.26	-38.28
56.13	-35.22
54.26	-43.42
48.47	-22.87
53.73	22.66
46.78	10.86
56.17	10.74
54.5	21.91
53.65	-40.15
62.11	-15.04
54.62	1.6
55.52	-6.8
50.03	27.02
58.91	1.23
53.87	-27.91
53.1	-8.47
53.1	-8.47
53.1	-4.89
51.85	-34.9
53.1	-8.47
53.1	-8.47
52.81	-20.19
48.66	-26.76
56.71	-14.81
55.14	44.28
55.65	35.91
55.14	44.28
